,Unnamed: 0,abstract,author,date,headline,section,source,word_count,id,candidate
11135,11135," Mainly Social Security and Medicare. Since 1990, the number of people getting Social Security benefits has risen by more than a third.","Chapman, Steve",2012-09-20,Romney's dependency delusions,News,Chicago Tribune,804.0,11135,Romney
11143,11143," Gidwitz, an unsuccessful GOP candidate for Illinois governor in 2006, is involved in running a super political action committee backing Republican congressional candidates.","Pearson, Rick",2012-10-24,Romney backers set $1M goal for fundraiser here,News,Chicago Tribune,346.0,11143,Romney
11155,11155," The Center on Budget and Policy Priorities, a liberal Washington think tank, found that Ryan's proposed cuts in funding for nondefense discretionary programs like FEMA's disaster relief would be three times as deep as the widely dreaded 7.\n","Page, Clarence",2012-10-31,Romney's FEMA comment bites back,News,Chicago Tribune,731.0,11155,Romney
11159,11159," ""First of all, Congressman Ryan has joined my campaign, and his campaign is my campaign now, and we're on exactly the same page,"" Romney said.","Finnegan, Michael; Parsons, Christi",2012-08-16,"Ryan, Medicare rhetoric builds",News,Chicago Tribune,784.0,11159,Romney
11162,11162," Thanks to the newly elevated status of U.S. Rep. Paul Ryan, who is to be nominated as Mitt Romney's running mate, Badger state delegates have choice seats on the convention floor.","Abcarian, Robin; Mason, Melanie",2012-08-28,Short session but high spirits,News,Chicago Tribune,693.0,11162,Romney
11171,11171," The news service revisited Bain's experience in the privatization of the Italian phone directory Seat Pagine Gialle SpA, which generated $1 billion in profits for Bain (and $50 million to $60 million for Romney) when Bain's investment group sold the company for about 25 times the original purchase price two years after buying it. According to the Bloomberg account, Bain invested 36 million euros as part of a group that bought a majority of Seat for 853 million euros in late 1997.",,2012-08-09,Romney's get-rich ethics troubling,News,Chicago Tribune,788.0,11171,Romney
11197,11197," How ironic that the GOP continues to keep George W. Bush under wraps just when we're learning of Mitt Romney's shrill demands for worldwide U.S. saber-rattling instead of the balanced diplomacy approach we've had for the last four years, and the Republican Party's advocacy of a blank check for defense that drives up the federal deficit at the expense of America-first domestic programs and infrastructure investment. Under the Clinton administration, the World Trade Center was bombed (the first time), the USS Cole was bombed, U.S. Embassies were bombed; Clinton did absolutely nothing about these events.",,2012-10-17,Voice of the people,News,Chicago Tribune,787.0,11197,Romney
11200,11200," [...]some very close, long-term friends of mine, who are liberal, have threatened to end their friendship with me if I vote for Mitt Romney. Put simply, he missed opportunities to make substantial job program improvements to the sagging economy when his party controlled the executive and legislative branches of government. --",,2012-10-03,Voice of the people,News,Chicago Tribune,817.0,11200,Romney
11201,11201," Democrats accused Romney of seeking to whitewash the positions he took during his nominating fight, including support for overturning Roe v. Wade, the Supreme Court decision that legalized abortion.","Parsons, Christi; Mehta, Seema",2012-10-18,Rivals step up fight for key group: Women,News,Chicago Tribune,1009.0,11201,Romney
11205,11205," By asking wonky, far-right Congressman Paul Ryan of Wisconsin to be his running mate, presumptive Republican presidential nominee and self-styled ""severely conservative"" former Massachusetts Gov. Mitt Romney has created the necessary contrast with his Democratic foes to elicit answers from voters to a series of important questions.","Zorn, Eric",2012-08-15,"For once if not for all, election will offer a real choice",News,Chicago Tribune,716.0,11205,Romney
11248,11248," Before thousands of supporters at a rally with vice presidential candidate Paul Ryan outside Detroit at Long's Family Farm, Romney appeared to make an oblique reference to the issue when he was detailing his roots in Michigan, where his father was a three-term governor in the 1960s. Republican officials started to exhale Friday as confidence grew that Tropical Storm Isaac won't shut down Mitt Romney's nominating convention.","Reston, Maeve",2012-08-25,Romney stirs 'birther' debate,News,Chicago Tribune,862.0,11248,Romney
11262,11262," Romney's handling of the $716 billion in Medicare cost cuts comes close to being a perfect example of why federal spending so seldom gets cut -- everyone favors restraining government spending in theory, but voters seldom love it in practice. [...]",,2012-08-19,In our debt $716 billion,News,Chicago Tribune,939.0,11262,Romney
11274,11274," Ryan, the presumptive Republican vice presidential candidate under Romney, has taken a sharply conservative view on abortion in the past, saying he opposes it in all circumstances except to save the life of the mother -- a position that would outlaw abortion even in cases of rape or incest.","Landsberg, Mitchell; Finnegan, Michael; Memoli, Michael A",2012-08-23,Ryan reconciles strict view on abortion with Romney's,News,Chicago Tribune,477.0,11274,Romney
11282,11282," Did anyone think the release of Mitt Romney's tax returns would satisfy Democrats and make them focus on the real issues in this campaign, including President Barack Obama's failed domestic and foreign policy record and approaching massive tax increases? [...]Americans who make average incomes can benefit from lower capital gains taxes if they build sufficient wealth by making good investments.","Thomas, Cal",2012-09-25,Romney's taxes: Who cares?,News,Chicago Tribune,716.0,11282,Romney
11286,11286," The legacy of the Bush administration -- from the Iraq War, to the increase in the federal debt burden and the nation's spiral into recession at the end of 2008 -- cast a long shadow over the last presidential contest and was a major factor in John McCain's loss to Barack Obama.","Reston, Maeve",2012-07-13,Cheney helps Romney raise money in red state,News,Chicago Tribune,630.0,11286,Romney
11288,11288," Waving from the stage Thursday night, Mitt Romney concluded a Republican National Convention that was sobered by a running mate he chose (Paul Ryan) and one he didn't (Hurricane Isaac). Romney's detractors anticipated humiliations ranging from rampant extremism (""GOP Is a Radicalized Fringe Party,"" a Washington Monthly post warned) to obsolete messaging (""Too Late to Shake that Etch A Sketch,"" wrote Maureen Dowd of The New York Times) to racist cluelessness (""They are happy to have a party with black people drowning,"" quipped David Chalian, promptly fired by an apologetic Yahoo! News).",Anonymous,2012-08-31,"Romney, Ryan and Isaac",News,Chicago Tribune,720.0,11288,Romney
11294,11294," [...]GOP vice presidential nominee Paul Ryan made a stop Saturday in Pennsylvania -- a state where registered Democrats outnumber Republicans by 1 million. [...]a number of polls since the first debate have suggested that Romney is gaining ground with female voters, particularly white suburban ones.","Tumulty, Karen",2012-10-22,Campaigns in final stretch,News,Chicago Tribune,835.0,11294,Romney
11299,11299," Swing states have ""seen significant gains in the last three years, but people still see that they're a long way from what they were, and that gets them anxious and impatient,"" said Stephen Fuller, director of the Center for Regional Analysis at George Mason University in Arlington, Va. No Republican has ever claimed the White House without winning the Buckeye State, and it would be extremely difficult for Romney to cobble together the needed 270 electoral votes without Ohio.","Hamilton, Walter",2012-10-07,Swing states as barometers,Business,Chicago Tribune,1112.0,11299,Romney
11301,11301, [...]it's probably not too early to guess that neither Romney nor President Barack Obama will enjoy a large or long-lasting boost from their conventions.,"Lauter, David",2012-08-16,VP pick gives Romney little gain in polls,News,Chicago Tribune,635.0,11301,Romney
11303,11303," Though he was criticized for a lack of diversity in his judicial appointments, half his top advisers were women, ranking Massachusetts ahead of the other 49 states, according to a 2004 study by the Center for Women in Government & Civil Society at the University at Albany, part of the State University of New York system.\n","Reston, Maeve",2012-07-11,Romney's civil rights stance muted,News,Chicago Tribune,994.0,11303,Romney
11311,11311," The six-term congressman came under pressure to quit the race from the top tier of the GOP, including presidential nominee Mitt Romney; Sen. Mitch McConnell of Kentucky, the minority leader; and Sen. John Cornyn of Texas, the chairman of Senate campaign efforts.","Mascaro, Lisa",2012-09-27,"Top Republicans change course, support Akin",News,Chicago Tribune,431.0,11311,Romney
